city,state,country,name,parent_id,unique_id,directions,lat,lon,description,date_created,activities/0/name,activities/0/unique_id,activities/0/place_id,activities/0/activity_type_id,activities/0/activity_type_name,activities/0/url,"activities/0/attribs/""length""","activities/0/attribs/""nightride""",activities/0/description,activities/0/length,activities/0/activity_type/created_at,activities/0/activity_type/id,activities/0/activity_type/name,activities/0/activity_type/updated_at,activities/0/thumbnail,activities/0/rank,activities/0/rating,activities/1/name,activities/1/unique_id,activities/1/place_id,activities/1/activity_type_id,activities/1/activity_type_name,activities/1/url,"activities/1/attribs/""length""",activities/1/description,activities/1/length,activities/1/activity_type/created_at,activities/1/activity_type/id,activities/1/activity_type/name,activities/1/activity_type/updated_at,activities/1/thumbnail,activities/1/rank,activities/1/rating,activities/0/attribs/null,"activities/0/attribs/""type""",activities/2/name,activities/2/unique_id,activities/2/place_id,activities/2/activity_type_id,activities/2/activity_type_name,activities/2/url,"activities/2/attribs/""type""",activities/2/description,activities/2/length,activities/2/activity_type/created_at,activities/2/activity_type/id,activities/2/activity_type/name,activities/2/activity_type/updated_at,activities/2/thumbnail,activities/2/rank,activities/2/rating
Fanning Springs,Florida,United States,Fanning Springs,,9082,"Main entrance is located on the south side of the highway about 1/6 mile East of the Suwannee River on highway 19 in Fanning Springs, Florida. The town is approximately 40 miles west of Gainesville Fl. via highway 26 to Fanning Springs, then north on US highway 19 about 1/2 mile to the park. It is also about ten miles north of the town of Chiefland on US highway 19. ",0,0,,,Fanning Springs,3-3493,9082,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=3493,"""3""",,"Located on the Suwannee River, this inviting source of cool, clear water has attracted people for thousands of years. As a strong 2nd magnitude springs, Fanning Springs provides refreshing swimming or snorkeling on a hot day. Visitors can enter the park by car or arrive by boat from the Suwannee river. Many visitors enjoy the picnic area, playground, volleyball court or use the park's large open areas for ball games, throwing Frisbees, and also for events. There is a canoe/kayak launch available, a nature trail and a boardwalk that overlooks the river. In the summer the gazebo at the end of the boardwalk is a fine place to watch sturgeon jumping. Manatees are often seen in the springs during the winter months and occasionally in the summer. White-tailed deer, gray squirrels, red-shouldered hawks, pileated woodpeckers, and barred owls are some of the other animals seen in the park. Reserve a canoe or kayak by calling Suwannee Guides and Outfitters at (352) 542-8331. If you bring a pet please remember they must be on a hand held leash no longer than six feet. For the safety of our non-pet owning guests, there are restricted areas (the main picnic and swimming areas). Please observe signs and restrict pets to more remote sections of the park. The Park is located on U.S. 19/98 in the town of Fanning Springs.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2009/07/fan4-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petoskey,Michigan,United States,Petoskey Koa,,9412,3 miles north of Petoskey on US 31.,45.395556,-84.893611,,,Petoskey Koa,3-3825,9412,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=3825,"""3""",," The spectacular Petoskey RV &amp;amp; Cabin Resort is located in beautiful Northwest Michigan. The park is rated #1 in Michigan by Trailer Life and it is among the highest rated RV resorts in North America. Lake Michigan and sand dunes are just minutes away and the refreshing breezes rustle through the cedar, pine and maple trees at the resort.  The romantic &amp;quot;million dollar&amp;quot; sunsets will give you goose bumps as you watch the sun sink into the lake.  The unique park layout weaves sites into the natural landscape.  Flowers and landscaping adorn every corner of the tranquil 30 acre setting.  Each of our spacious 160 RV sites has a level paved parking area and large, clean concrete patio for relaxing with your family. The resort&amp;amp;#39;s cozy log Kamping Kabins are nestled among the trees.  We also offer deluxe Kamping Kottages with fireplaces and luxurious Meadowview Cottage Park Homes for our guests.  We offer a full slate of activities including educational nature events, movies, bingo and weekend pancake breakfasts. Within minutes lie local golf, restaurants, beaches, bike trails and shopping.  Easy day trips include the Sleeping Bear Dunes National Lakeshore, Lighthouse Museum, Mackinac Island and many more nearby destinations.  Our outstanding staff takes pride in offering service to our visitors that is second to none. The Rose Family invites you to visit the Petoskey RV &amp;amp; Cabin Resort. &amp;quot;For a place you will always remember and a vacation you will never forget.&amp;quot;  ",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/03/3825-1300870267-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Cruces,New Mexico,United States,A Mountain Trail,,2683,"The best way to get to this trail is to park at the Pan Am Center, then ride south on the Pan American Highway until you hit Geothermal Dr.  Take Geothermal East, it will turn into a dirt road.  Keep following it towards A mountain.  Right near the base of the mountain you will see a jeep trail crossing the main road.  Jump on this and it will take you into the single tracks.",32.28735,-106.71071,,,A Mountain Trail,1-1849,2683,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=1849,"""5""",null,"Once you've hit singletrack, just follow the mountain in a loop near the base.  On the northwest side of the mountain you can either keep riding up the hill or drop down onto Dripping Springs Road, then get back on the trail to ride back towards Geothermal or head West on Dripping Springs Road. This turns into University, a quick hop skip and jump from the Pan Am Center.",5,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2014/11/image64089.jpg,,3.33,A Mountain Trail,2-494,2683,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=494,"""5""","A Mountain Trail features 5 miles of hiking trails near Las Cruces, NM.",5,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,
East Providence,Rhode Island,United States,Haines Memorial State Park,,19176,"Rte. 103&lt;br /&gt;East Providence, Rhode Island 02914&lt;br /&gt;(401) 253-7482",41.75072,-71.346718,"At first, Haines State Park consisted of two picnic groves, but later ball fields were added for baseball and other sports of the day. During the Depression of the 1930s, the Civilian Conservation Corps, which was at work in other parks across Rhode Island, built fire places and sculpted turf away from the beach to enhance it for bathers. A pedestrian footbridge connected Haines with nearby Crescent Park until it was swept away in the '38 Hurricane. A bath house was added in 1940. More recent developments have made it a stop on the East Bay Bike Path and in 2002 it became the site of a seasonal farmer's market.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Juan Capistrano,California,United States,Star Rise Trail,,25080,Runs between West Ridge Trail at its west end and Bell Canyon Trail at its east end,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Center,Ohio,United States,Mill Cr Camping,,12042,"From I-76, take Exit 54 and go south 5.5 miles on State Route 534 to U.S. Route 224 in Berlin Center. Turn right (west) onto U.S. Route 224 and go about 2 miles to Bedell Road. Turn left (south) on Bedell Road and go about 3/4 of a mile to the campground.",41.006944,-80.998056,,,Mill Cr Camping,3-6457,12042,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=6457,"""3""",,"Mill Creek Recreation Area is an ideal family campground located on Berlin Lake in northeastern Ohio. Visitors enjoy boating, fishing, hunting, picnicking and camping.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/05/6457-1305761530-0.jpg,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hana,Hawaii,United States,Wai'anapanapa State Park,,16619,"Wai'anapanapa State Park is a 122 acre site located in Hana at end of Wai'anapanapa Road off Hana Highway (Highway 360), 52.8 miles (3 hour drive) east of Kahului Airport.",20.783611,-155.998611,"The remote Wai'anapanapa State Park is located along the low-cliffed volcanic coastline. Seabird watching is common as are other activities such as picnicking, camping, shore fishing and hiking. The park has several beautiful natural features including the native hala forest, a cave, an ancient religious temple, sea stacks and a small black sand beach. The park amenities include restrooms, camping, outdoor showers, trash cans and drinking water.",,Waianapanapa State Park,2-3960,16619,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=3960,"""3""",,"The remote Wai'anapanapa State Park is located along the low-cliffed volcanic coastline. Seabird watching is common as are other activities such as picnicking, camping, shore fishing and hiking. The park has several beautiful natural features including the native hala forest, a cave, an ancient religious temple, sea stacks and a small black sand beach. The park amenities include restrooms, camping, outdoor showers, trash cans and drinking water.<br /><br />The hiking trail on the property is the Ke Ala Loa O Maui/Piilani Trail. The level of difficulty is moderate and the elevation gain is 200 feet. The rugged coastal trails takes you through views of the Hana Coast and Slopes of Haleakala.",3,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cle Elum,Washington,United States,Stafford Creek,,26864,"Head up the Teanaway valley on Teanaway road. At the intersection of WF Teanaway, hold right on Teanaway road and continue up the North Fork of the Teanaway (road becomes the NF Teanaway).  The road will turn to gravel.  Go right on 9703.  TH will be on the left in approximately 2 miles.  Parking is on the right (NW Forest Pass required). There is abundant parking outside of the area where forest passes are required.",47.36588,-120.80347,,,Stafford Creek,1-9138,26864,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=9138,"""12""",null,to come,12,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2014/09/DSC00142.jpg,,4,Stafford Creek,2-8717,26864,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=8717,"""12""","12 mile hiking trail located near Cle Elum, Washington",12,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,
Bridgeport,California,United States,Robinson Creek South,,10221,Take U.S. Highway 395 through Bridgeport. Turn south on Twin Lakes Road at the Shell gas station. Travel 9.3 miles on Twin Lakes Road. Turn left into the campground.,38.186111,-119.3175,,,Robinson Creek South,3-4636,10221,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=4636,"""3""",,"Robinson Creek South Campground is located just 9 miles from Bridgeport, California, next to Robinson Creek at an elevation of 7,000 feet. The Twin Lakes area is close by, offering boating, fishing, hiking and horseback riding opportunities.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/03/4636-1300014081-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston,,UNITED STATES,1000 Islands / Kingston Koa,,13364,1 mile N of Hwy 401 at Exit 611.,44.306389,-76.575833,,,1000 Islands / Kingston Koa,3-7783,13364,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=7783,"""3""",,"Home of the Famous &quot;Crazy Hans Hayride&quot;  A strategic outpost since fur- trading days, Kingston lies at the junction of Lake Ontario and the St. Lawrence River. Massive Fort Henry presides on a hilltop above the city, overlooking the lake and up the river toward the 1000 Islands. Costumed interpreters explain early-19th- century military life. Ten minutes from the campground, tour boats leave regularly to cruise the islands.  Its all within easy reach of this KOA, where a sundeck and pool, 18-hole mini golf course and other attractions encourage lazy hours among its treed grounds - except when &quot;Yee-Ha&quot; wagon rides, ice cream socials, karaoke and other events take over, in the season. Visit our doggy playground that everybody is raving about, you and your pet are sure to enjoy it.  Our big-rig-friendly KOA offers level pull thru sites up to 100 amp and also some deluxe sites with concrete deck, patio furniture and a wooden swing set. Come and visit us. &quot;Great People. Great Camping.&quot; We are sure you will enjoy your stay!  Your hosts: Hans and Patrick Wagner &quot;Wir sprechen Deutsch&quot;  Reservations recommended",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/07/7783-1310710532-3.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ward,Colorado,United States,Sourdough Trail,,755,"From Boulder, head up to Nederland.  Go right(north) on Highway 72 for aboug 7 miles.  Turn left onto County Road 116 (there's a sign for the University of Colorado Mountain Research Station).  go about .5 mile to the parking lot on the left, trail starts across the road, this is the south end of the trail.&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;http://maps.google.com/maps?q=nederland,+co&amp;hl=en&amp;ll=40.027549,-105.524712&amp;spn=0.036871,0.06669&amp;hnear=Nederland,+Boulder,+Colorado&amp;t=m&amp;z=14&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;There's another trailhead further north, from Ward, head up Brainard Lake Rd, there's a large nice new parking area on the right just before you get to the Toll gate.  For this stretch of Sourdough, most of the climbing is done heading North from the South end, and mostly downhill going South.",40.0276,-105.52453,,,Sourdough Trail,1-1193,755,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=1193,"""12""",1,"This section runs between 9200-10200' elevation.  The altitude, climbs, and constant rockiness make this an overall tough ride.  There aren't many large-rock sections, but plenty of small-medium ones to keep it a little rough most of the time, and many small sharp ones that have given me pinch flats and holes in the sidewalls.  As of 2012 it seems they've done some trail work and smoothed out several sections that where once much harder.  There are several fallen trees you'll have to work around, some have been turned into fun little log piles to ride over.  The ride is mostly through dense forrest perfect for hot summer days.  There are maps at both ends of the trail, check out the map at the north end to see more trail options that continue from the trailhead on Brainard Lake Rd.",12,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2009/trails/01/1126236509.jpg,,3.95,Sourdough Trail,2-115,755,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=115,"""12""",Sourdough Trail is an awesome singletrack trail that takes you along alpine trails and winds through high elevation forests. Every once in awhile the forests open up and you get to see the stunning views of the surrounding mountains and valleys!&lt;br /&gt;<br />This is a multi-use trail so be sure to share the path.,12,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,Sourdough Trail,6-274,755,9,snow sports,http://www.snowtoit.com/trail.php?c=73&i=274,"""Backcountry \/ Primative""","This trail is a steep 5 mile out-and-back (for a total distance of 10 miles) singletrack trail that rises 1,000 feet from 9,200 up to 10,200. Be prepared to be in oxygen debt!",0,2012-08-15T17:33:19Z,9,snow sports,2012-08-15T17:33:19Z,,,0
Safford,Arizona,United States,Arcadia Campground,,7101,From Safford drive south 8 miles on US 191 to AZ 366. Turn right (southwest) onto AZ 366 and drive 11.6 miles to the campground entrance on the right side of the road. Check local road conditions during winter months.,0,0,,,Arcadia Campground,3-674,7101,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=674,"""3""",,"When early settlers ventured up Mount Graham, the Arcadia area was usually as far as they got on the first day. A little later in the history of the Pinale?Â±os, Arcadia was the site of one of several Civilian Conservation Corps camps established in the 1930âÃÃ´s to provide jobs for workers idled by the Great Depression. Today, Arcadia Campground is the first campground visitors encounter on their way up Mount Graham by way of the Swift Trail (AZ 366), which was built by those Depression-era workers. Arcadia Campground is shaded by stands of tall ponderosa pine interspersed with Gambel oaks and Arizona walnuts. Such a diverse habitat makes this an excellent area for bird watching. The Arcadia Trail starts here and leads up the mountain to Shannon Campground. A one mile spur off this trail leads to the top of Heliograph Peak.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2009/02/674-1234384185.jpg,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisburg,West Virginia,United States,Lost World Caverns,,13836,,0,0,,,Lost World Caverns,4-142,13836,7,caving,http://www.tripleblaze.com/trail.php?c=251&i=142,,,"Lost World Caverns contains over a mile of passages and descends into the earth over 235 feet. The skeleton of a prehistoric cave bear was once found in the cave. In 1973 it was designated as a National Natural Landmark because it &quot;feature terraced pedestal-like stalagmites, flowstone, curtains, rimstone, domepits, and waterfalls.&quot; Guided and self-guided tours of the cave are offered, allowing visitors to view the many interesting formations.",0,2012-08-15T17:32:53Z,7,caving,2012-08-15T17:32:53Z,http://images.tripleblaze.com/2012/04/WarClub-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Townsend,Washington,United States,Fort Worden State Park,,15897,Fort Worden State Park and Conference Center is a 434-acre multi-use park with over two miles of saltwater shoreline and a wide variety of services and facilities. The park rests on a high bluff overlooking Puget Sound. Many historic buildings remain at this 19th century military fort.,48.134498,-122.765078,Fort Worden State Park and Conference Center is a 434-acre multi-use park with over two miles of saltwater shoreline and a wide variety of services and facilities. The park rests on a high bluff overlooking Puget Sound. Many historic buildings remain at this 19th century military fort.,,Fort Worden State Park,2-3742,15897,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=3742,"""12""",,5 miles are ADA accessible.,12,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,Fort Worden State Park,3-8289,15897,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=8289,"""3""",Campers may enjoy this scenic and historic fort at two delightful campgrounds with 80 campsites that may be reserved up to one year in advance. Both campgrounds have restrooms with showers. Maximum site length is 75 feet (may have limited availability).,3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,0,,,,,,,,,,,,,,,,,,
Arminto,Wyoming,United States,Grave Springs Campground,,24456,"From Arminto, take the South Bighorn/Red Wall Back Country Byway north for 13.5 miles ot Bighorn Mountain road. Turn left and go 12 miles north to the campground on the left.",43.179645,-107.257429,"Ten camping sites with RV parking and tent pads, two camping sites for tents only with parking and tent pads, vault toilet, tables and fire rings.",,Grave Springs Campground,3-10515,24456,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=10515,"""3""",,"Ten camping sites with RV parking and tent pads, two camping sites for tents only with parking and tent pads, vault toilet, tables and fire rings.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishop,California,United States,Volcanic Tablelands,,24041,"Directions:&lt;br /&gt;From Bishop, take State Highway 6 north to Five Bridges Road, then take a left. Proceed on Five Bridges Road 5 miles until it turns into a dirt road. At the entrance to the area, there is a BLM kiosk that provides map and route information for the Tablelands.",37.456597,-118.479284,"The Volcanic Tablelands is a vast volcanic landscape that was formed over 700,000 years ago by materials spewing from the Long Valley caldera, located to the northwest.",,Volcanic Tablelands,1-7409,24041,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=7409,"""23""",null,"The Volcanic Tablelands is a vast volcanic landscape that was formed over 700,000 years ago by materials spewing from the Long Valley caldera, located to the northwest.",23,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2014/01/IMG_2624-0.jpg,,2,Volcanic Tablelands,2-8055,24041,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=8055,"""0""","The Volcanic Tablelands is a vast volcanic landscape that was formed over 700,000 years ago by materials spewing from the Long Valley caldera, located to the northwest.",0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,
Woodland Park,Colorado,United States,Red Rocks Group Campground,,11966,"From the I-25 and Highway 24 intersection in Colorado Springs, Colorado, travel west on Highway 24 for about 18 miles to the junction with Highway 67 in Woodland Park. Turn right (north) on Highway 67 and drive about 4 miles. Turn right (east) on Forest Road 335. The campground entrance is up the road about 0.2 miles on the left.",39.044167,-105.079722,,,Red Rocks Group Campground,3-6381,11966,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=6381,"""3""",,"Red Rocks Group Campground is located 4 miles north of the town of Woodland Park, Colorado. Visitors enjoy the area for hiking, biking and visiting the nearby 5-acre Manitou Lake.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/05/6381-1306019180-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raquette Lake,New York,United States,Sucker Brook Bay,,2923,Go into the town of Raquette Lake and continue on road until reaching Uncas Road.  Follow signs to Brown Tract Campground.  Trail head is ~1 mile pass the campground entrance on the right side.  There is a barrier gate and a sign in log,43.801,-74.70542,,,Sucker Brook Bay,1-4085,2923,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=4085,"""7""",null,"6.6 miles, gentle rolling terrain&lt;br /&gt;<br />Rated Beginner to intermediate. Recently re-opened when&lt;br /&gt;<br />a bridge was replaced, this trail starts at the yellow barrier&lt;br /&gt;<br />gate on the north side of the Uncas/Browns Tract Road&lt;br /&gt;<br />between upper and lower Brown Tract Ponds. At&lt;br /&gt;<br />approximately .9 miles, you will cross the trail from Brown&lt;br /&gt;<br />Tract Campsite to Shallow Lake. At a little over 3 miles,&lt;br /&gt;<br />you come to Sucker Brook Bay of Raquette Lake. You&lt;br /&gt;<br />will pass a number of trails on your left as you ride toward&lt;br /&gt;<br />Raquette Lake. These trails enter the Pigeon Lake&lt;br /&gt;<br />Wilderness area and are closed to biking.",7,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Mountain,New York,United States,Silver Mine - Harriman State Park,,18314,"Palisades Interstate Park Commission&lt;br /&gt;Bear Mountain, NY 10911&lt;br /&gt;Phone: (845) 351-2568",44.324652,-111.463631,"The Silver Mine area of Harriman State Park offers picnic grounds, fishing and hiking.Biking - helmets required. Fishing - NYS fishing license required. Launch Sites - Boat permit required.",,Silver Mine - Harriman State Park,2-4939,18314,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=4939,"""0""",,Beautiful area for hiking.,0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yreka,California,United States,Ditch Trail,,23855,Access behind baymont inn near south Yreka exit.  Go up the hill and hang a right at a trail that takes you to the water tower and well marked trail called Ditch Trail.,41.70862,-122.64898,,,Ditch Trail,1-7236,23855,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=7236,"""2""",null,This is the widest trail but gives you access to all kinds of fun and twisty single trek trails.  I took one called Sidewinder that challenged my balance and coordination as descended and ascended through narrow but thrilling spaces between oak trees.  This network of trails is clearly marked and accessible from many areas.  The area is shared by hikers and joggers as well as bikers.  Ditch trail itself seemed about 2 miles in length but ends at another large network of trails: Miners Trail etc. If you want a longer ride the trails go on for miles and miles beyond.,2,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2013/08/mobile-1375634075-0.jpg,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Liberty,Indiana,United States,Potato Creek State Park,,5279,"From South Bend, take HWY 31 south to SR 4. Park is on right about 2 miles down. ",0,0,,,Potato Creek State Park,2-14,5279,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=14,"""5""",,"Potato Creek is located in north central Indiana about 12 miles southwest of South Bend.  The park features a wide array of activities and facilities for year-round enjoyment.  We would suggest making reservations at this very popular park. <br />A variety of natural habitats await the visitor to this park including the 327 acre Worster Lake, old fields, mature woodlands, restored prairies and diverse wetlands.  Each of these offer their own unique opportunities for plant and wildlife observations.<br /><br />",5,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Lake,California,United States,2n08,,4818,Connect to it from 2N10,34.23593,-116.90923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountain City,Minnesota,United States,Miss River - Pool 1,,21768,"44.141504, -91.729792",44.141034,-91.730596,"Located within the Upper Mississippi River Valley between Minneapolis and St. Paul. This pool is within the Mississippi National River and Recreation Area corridor. There is an observation platform for visitors to watch lock operations and see towboats and barges up close.

In the St. Paul District, the project flows through three National Wildlife Refuges, the Mississippi National River and Recreation Area, many State and local wildlife and recreation areas. Designated an American Heritage River, it offers visitors many recreational opportunities, including sightseeing along the river, visiting quaint river towns, viewing the wooded bluffs along the river, and watching bald eagles soaring.",,Miss River - Pool 1,2-6888,21768,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=6888,"""0""",,Located within the Upper Mississippi River Valley between Minneapolis and St. Paul. This pool is within the Mississippi National River and Recreation Area corridor. There is an observation platform for visitors to watch lock operations and see towboats and barges up close.<br /><br />Trails extend out around this area into different recreation areas. These trails are perfect for viewing the Mississippi River as well as plenty of wildlife. Hike along the wooded bluffs and see if you can catch a bald eagle soaring overhead.,0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glacier Ranger District,Alaska,United States,Granite Creek,,7054,Campground is located 64 miles south of Anchorage along the Seward highway.,60.725278,-149.295556,,,Granite Creek,3-625,7054,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=625,"""3""",,"A  small loop campground with 19 sites (most beside creek) suitable for vehicle camping, RVâÃÃ´s, and tents.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/6723-1307279253-0.jpg,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enders,Nebraska,United States,Enders Reservoir State Recreation Area,,17971,"5 miles E, 4.5 miles S of Imperial",40.428451,-101.536786,"Enders Reservoir SRA at Enders has 3,278 acres of land on a 1,707-acre lake, part of which is a waterfowl refuge. There are modern restrooms, coin-operated showers, dump station, fish cleaning station, 32 (30-amp) hookups and 200 non-pad sites",,Enders Reservoir,3-1282,17971,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=1282,"""3""",,"Enders Dam and reservoir, Frenchman Cambridge Division, PSMBP, is managed for the Bureau of Reclamation by the Nebraska Game and Parks Commission. The reservoir is open 24 hours. Good access roads. Fishing season is year-round. Available species include walleye, crappie, white bass, channel catfish, and wipers. Irrigation supply reservoir experiencing minor fluctuations. Reservoir peaks at 1,705 surface acres. A portion of the area is dedicated as a wildlife refuge in the fall and winter. Large flocks of mallards and geese winter on the open waters of the refuge.Public hunting on about 1,500 acres is allowed in some areas for deer, waterfowl, and upland game. Current Reservoir Levels",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake,Virginia,United States,Great Bridge Battlefield &amp; Waterways Park,,23781,"From Great Bridge bypass, take Battlefield Blvd south exit. Head South on Battlefield, take last left before drawbridge. Entrance to park is on the left. Trail head is at the rear of the parking lot on the right.",36.72108,-76.23683,,,Great Bridge Battlefield &amp; Waterways Park,1-7205,23781,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=7205,"""2""",null,Begins as a sandy fire road but loops back just before the bypass bridge as a sandy singletrack.,2,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grantham,New Hampshire,United States,West Side,,26319,"from west cove, out doubletrack along west edge of lake",43.54082,-72.1251,,,West Side,1-8875,26319,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=8875,"""4""",null,"rocky, relatively flat",4,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
